Hotel Name,Contact Person,Reservation Email
Amara Sanctuary Resort Sentosa,Ms Poom Samkasat,Reservation@amarasanctuary.com
Amber Hotel Katong,Terence Wu,amberhotel@gmail.com
AMOY,Christine Lee,christinelcs@fareast.com.sg
Aqueen Hotel Paya Lebar,Reservations Team,reservations@aqueenhotels.com
Ascott Orchard Singapore,Janice Lee ,janice.lee@the-ascott.com
,,Reservations.sg@the-ascott.com
Ascott Raffles Place Singapore,Janice Lee ,janice.lee@the-ascott.com
Balestier Hotel Pte Ltd,Yibin,balestier_hotel@yahoo.com
BudgetOne Hotel,Kelvin Lim,onehotel18@gmail.com
Capri by Fraser Changi City,Donica Lui,donica.lui@capribyfraser.com 
D' Hotel,Janice Lee,janice.lee@the-ascott.com
"Duxton Reserve Singapore, Autograph Collection",Reservations Team,reservations@duxtonreserve.com
Fairmont Singapore,Pinky Yee,reservations.singapore@fairmont.com
five/6 Hotel Splendour,David Wong,reservations@hotelsplendour.sg
Four Seasons Hotel,Charles Ding,res.fssingapore@fourseasons.com
Golden Star Hotel,Low Siew Voon,goldenstarhotel@yahoo.com.sg
Goodwood Park Hotel,Gina Tan ,rmresv@goodwoodparkhotel.com
Grand Mercure Singapore Roxy,Shamila  Khalid,H3610@accor.com
Haising Hotel,Ivy Tan,hs@haising.com.sg
Harbour Ville Hotel,Xueni,sn@harbourvillehotel.com
"Harbour Ville Hotel, Hamilton",Chloe,contact@harbourvillehamilton.com
Hilton Singapore,Sales Team,singapore_reservations@hilton.com
Hotel 1888 Collection Chinatown,Skye Liu,skye.liu@homes4now.com
Hotel Bencoolen,Mr. Ignatius Kwek,onlinereservation@hotelbencoolen.com
,,ignatiuskwek@hotelbencoolen.com
Hotel Clover 5 Hongkong Street,Ms Sara,reservations@hotelclover.com
Hotel Clover 7 Hong Kong Street,Ms Sara,reservations@hotelclover.com
Hotel Clover 769 North Bridge Road,Mr. Zech,info@hotelclover769.com
Hotel Clover the Arts,Ms Sara,reservations@hotelclover.com
Hotel Fuji,Mrs Ong,hotelfuji.pl@gmail.com
Hotel G Singapore,Reservation,res@hotelgsingapore.com
Hotel Grand Central,Pui Chee (Ms),accommodations@grandcentral.com.sg
Hotel NuVe,Su Xueni,xueni@hotelnuve.com
Hotel NuVe Elements,Ally,elements@hotelnuve.com
Hotel NuVe Heritage,Lim Wei Siong,Weisiong.lim@hotelnuveheritage.com
Hotel NuVe Urbane,John,urbane@hotelnuve.com
Hotel NuVe Stellar,Maica,contact@hotelnuvestellar.com
"Hotel NuVe, Bugis",Ratna Asnam,contact@hotelnuve.com
